Satellite Name	Time	Longitude	Latitude	Altitude	V(x) [km/s]	V(y) [km/s]	V(z) [km/s]
FREGAT DEB	2024-06-29 02:34:47.568168	90.000000	0.543660	-6353444.196677	-2.728123	4.703193	4.392032
SOYUZ-MS 23	2024-06-29 02:43:47.568168	-90.000000	46.357064	-6351566.426739	-4.594903	6.085191	1.015111
SL-4 R/B	2024-06-29 02:44:47.568168	90.000000	-15.797973	-6355126.355971	-0.057520	5.191301	5.797809
FREGAT DEB	2024-06-29 02:49:47.568168	90.000000	52.438065	-6350943.922568	-6.786010	3.099824	0.716703
SL-4 R/B	2024-06-29 02:59:47.568168	90.000000	45.503193	-6351675.238637	-6.356111	4.321912	1.139259
ISS DEB	2024-06-29 03:01:47.568168	-90.000000	-13.588296	-6354450.237580	-0.760177	5.473761	-5.459308
SOYUZ-MS 22	2024-06-29 03:06:47.568168	90.000000	-14.965497	-6351762.255345	3.917611	6.348062	-1.925623
CREW DRAGON 5	2024-06-29 03:07:47.568168	90.000000	-9.663478	-6351889.504338	3.566748	6.424400	-2.314569
CSS (MENGTIAN)	2024-06-29 03:08:47.568168	-90.000000	-31.212035	-6355972.438052	3.520500	4.678046	5.038260
CYGNUS NG-18	2024-06-29 03:09:47.568168	90.000000	-0.025970	-6352212.341564	2.816206	6.485906	-3.057860
TIANZHOU-5	2024-06-29 03:10:47.568168	-90.000000	-25.228836	-6356582.534225	2.579661	5.182745	5.114673
SHENZHOU-15	2024-06-29 03:11:47.568168	90.000000	-22.253524	-6356615.081529	2.089382	5.398382	5.115981
PROGRESS-MS 22	2024-06-29 03:12:47.568168	90.000000	12.199689	-6352855.235622	1.595325	6.349093	-4.060433
ISS DEB	2024-06-29 03:16:47.568168	-90.000000	54.390067	-6351579.294694	-6.529584	4.181778	-0.319820
ISS (NAUKA)	2024-06-29 03:18:47.568168	90.000000	31.000789	-6354603.322737	-0.995245	5.285680	-5.513314
CSS (WENTIAN)	2024-06-29 03:20:47.568168	90.000000	6.338365	-6354055.040074	-2.483262	6.090544	4.055843
SOYUZ-MS 22	2024-06-29 03:21:47.568168	90.000000	38.812386	-6355634.282104	-2.254882	4.404170	-5.901649
CREW DRAGON 5	2024-06-29 03:22:47.568168	90.000000	41.303643	-6355990.729905	-2.656012	4.066834	-5.975876
